38,0.8449584
39,0.8435925
40,0.8435154
41,0.84417
42,0.8460949
43,0.8465352
44,0.8474531
45,0.846666
46,0.8445823
47,0.8424961
48,0.8402238
49,0.8371004
50,0.8310839
51,0.8262355
52,0.8218229
53,0.817954
54,0.8129473
55,0.8055419
56,0.794527
57,0.7818813
58,0.7634845
59,0.7460568
60,0.6265649
61,0.5625422
62,0.4713698
63,0.4032554
64,0.3655361
65,0.2887719
66,0.2437364
67,0.2155998
68,0.1937971
69,0.1756895
70,0.1568694
71,0.1252647
72,0.1117349
73,0.0994456
74,0.0877906
75,0.0765471
76,0.0641231
77,0.0513839
78,0.0338686
