age,alder_amr
42,0.0792109
43,0.0808711
44,0.0824563
45,0.0832373
46,0.0830587
47,0.083596
48,0.08469
49,0.086189
50,0.0879496
51,0.0917208
52,0.0951059
53,0.0986136
54,0.1028933
55,0.109329
56,0.1158502
57,0.1211686
58,0.1264004
59,0.1304223
60,0.1408771
61,0.1428202
62,0.1462406
63,0.1443237
64,0.140732
65,0.140613
66,0.1325684
67,0.129631
68,0.1251373
69,0.1198523
70,0.1101749
71,0.1040551
72,0.100343
73,0.093906
74,0.0892572
75,0.0857292
76,0.0847812
77,0.0752974
78,0.0747697
