age,alder_amr
42,0
43,0
44,0
45,0.0005066
46,0.0055417
47,0.0088127
48,0.0111958
49,0.0132832
50,0.0155523
51,0.0196404
52,0.0246589
53,0.0295919
54,0.0345783
55,0.0356381
56,0.0368198
57,0.0378621
58,0.0381728
59,0.0377781
60,0.0358294
61,0.0317484
62,0.0299675
63,0.0283139
64,0.0265718
65,0.0284744
66,0.0289615
67,0.0259769
68,0.0253629
69,0.0268461
70,0.0291639
71,0.0344404
72,0.0385978
73,0.042352
74,0.0455453
75,0.0491315
76,0.0509036
77,0.0571758
78,0.0535459
